"Timestamp","Year of graduation","Major (B.Tech)","What was your CGPA?","Were you a member of the student council or fest organization committees?","Were you a member of any of the branch associations, IEEE, ASME, etc?","Were you a member of any of the clubs and societies?","Did you hold any administrative position in the clubs and societies you were a member of?","Did you secure a job through campus placements?","Your Gender","Age","Time spent on academics","Time spent on extra curricular activities","Social life","My appetite for risk","In terms of applying/experimenting with what I learn in class","Did you earn a second degree since graduating from NIT Warangal?","If yes, which field is it?","How many years of work experience do you have?","What is your current field of work?","How would you rate your satisfaction in your current/last job?"
"2017/07/04 4:04:48 AM GMT+1","2013","Electrical and Electronic Engineering","7 to 8","Yes","Yes","Yes","Yes","Yes","Male","28","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","4","Data analytics","7"
"2017/07/04 12:34:37 PM GMT+1","2013","Metallurgy and Materials Engineering","6 to 7","No","No","No","No","Yes","Male","27","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent more time than I did","Would have been lesser than what I had","Would have spent the same amount of time as academics","No","","3","Data Science","9"
"2017/07/04 4:11:26 PM GMT+1","2012","Computer Science and Engineering","7 to 8","No","Yes","No","No","Yes","Male","27","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent the same amount of time as academics","No","","4.0","banking,business analysis","7"
"2017/07/04 4:28:18 PM GMT+1","2013","Mechanical Engineering","6 to 7","No","Yes","Yes","Yes","Yes","Male","25","I would have spent less time than I did","I would have spent less time than I did","I would have spent less time than I did","Would have been lesser than what I had","Would have spent less time applying/experimenting","No","","3","Customer service","3"
"2017/07/04 7:37:33 PM GMT+1","2009","Civil Engineering","7 to 8","Yes","No","No","No","Yes","Male","30","I would have spent less time than I did","I would have spent less time than I did","I would have spent more time than I did","Would have been the same that I had","Would have spent less time applying/experimenting","Yes","MBA","6","CREDIT RISK- INVESTMENT BANKING","8"
"2017/07/05 7:07:12 AM GMT+1","2013","Chemical Engineering","7 to 8","No","No","No","No","Yes","Male","24","I would have spent the same amount of time that I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","2","Analytics","6"
"2017/07/05 7:19:58 AM GMT+1","2013","Civil Engineering","6 to 7","Yes","Yes","No","No","Yes","Male","25","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent more time than I did","Would have been more than what I had","Would have spent more time applying/experimenting","Yes","MBA","15","Finance","9"
"2017/07/05 2:32:14 PM GMT+1","2013","Chemical Engineering","8 to 9","No","No","No","No","Yes","Male","25","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","I would have spent more time than I did","Would have been the same that I had","Would have spent the same amount of time as academics","No","","2","Retail sales","5"
"2017/07/05 8:22:00 PM GMT+1","2013","Electrical and Electronic Engineering","7 to 8","Yes","No","Yes","Yes","Yes","Male","25","I would have spent the same amount of time that I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent more time applying/experimenting","Yes","Management","3","Consulting","8"
"2017/07/05 10:01:05 PM GMT+1","2013","Mechanical Engineering","7 to 8","Yes","No","Yes","Yes","No","Male","23","I would have spent more time than I did","I would have spent more time than I did","I would have spent more time than I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","0","HR","6"
